x,S0,A0
56,7.7916,0.2843
3964,7.794,0.5494
9933,7.7978,0.8527
28604,7.8089,1.4357
47474,7.8176,1.7882
61922,7.8214,2.0085
77220,7.8218,2.1768
85901,7.8203,2.2677
103518,7.8144,2.4536
124060,7.8053,2.6198
146796,7.7959,2.7615
164625,7.7905,2.8676
175640,7.7883,2.9275
206431,7.7845,3.0641
235510,7.781,3.1811
268496,7.7735,3.2981
281821,7.7684,3.3305
310022,7.752,3.3903
355702,7.7139,3.4972
384844,7.6877,3.5479
392828,7.6812,3.5601
435813,7.6453,3.6229
471750,7.5976,3.6557
483679,7.5766,3.6659
537894,7.46,3.7187
568886,7.3798,3.7443
593328,7.2992,3.7616
609631,7.222,3.7723
645342,7.041,3.7948
653293,6.9956,3.7997
688320,6.7458,3.8183
695960,6.6809,3.8212
736176,6.3124,3.8317
737889,6.2967,3.832
760063,6.1011,3.8351
791021,5.8406,3.8402
793072,5.8259,3.8406
838576,5.5455,3.8503
878093,5.3485,3.86
904906,5.2426,3.8675
909663,5.2259,3.869
939876,5.1279,3.8805
953988,5.0849,3.8861
966105,5.0485,3.8784
973576,5.0261,3.8707
