x,S0,A0,rayliegh
0.00952,7661.1,139.5,4292.4
0.01055,7661.1,152.8,4292.4
0.01232,7661.1,175.7,4292.4
0.05572,7661.4,744.2,4291.5
0.07452,7661.1,996.6,4291.1
0.09919,7660,1302.3,4290.6
0.13445,7654.5,1628.6,4289.9
0.13579,7654.1,1641.2,4289.8
0.17713,7637.2,2033.2,4289
0.19436,7627.9,2150.7,4288.6
0.22514,7610,2332.2,4288
0.26908,7581.4,2617.8,4287.1
0.2691,7581.4,2617.9,4287.1
0.32515,7529.1,2843.9,4286
0.34243,7501.7,2904.7,4285.6
0.38049,7403.7,3023.3,4284.8
0.4056,7309,3085.1,4284.3
0.44861,7108.2,3182.7,4283.4
0.466,7016.6,3224.3,4283.1
0.50423,6784.1,3308.2,4282.3
0.50863,6754.9,3315.6,4282.2
0.54512,6505,3359.9,4281.5
0.57063,6323.9,3388.7,4280.9
0.59271,6179.4,3420.4,4280.5
0.6441,5890.7,3495,4279.4
0.64974,5860.5,3501.5,4279.3
0.68866,5654.5,3536,4278.5
0.7162,5523.5,3554.8,4277.9
0.73699,5435.2,3570.1,4277.5
0.77751,5286.1,3601.3,4276.7
0.79208,5235.9,3611.7,4276.4
0.84046,5076.4,3642.1,4275.4
0.85094,5045.3,3647.8,4275.2
0.90162,4910.3,3672.1,4274.2
0.92032,4870.2,3681.1,4273.8
0.94735,4817.3,3695.4,4273.2
0.98604,4722.8,3717.6,4272.4
0.99173,4707.8,3720.9,4272.3
0.99307,4704.3,3721.7,4272.3
