x,S0,S0_be,A0_be,A0
0.01363,-0.00299,0.87393,-0.03271,0.01118
0.04312,0.0276,0.82291,-0.00908,0.04246
0.06214,0.04722,0.7962,0.00083,0.06707
0.06863,0.05399,0.78745,0.00378,0.07779
0.0755,0.06123,0.77819,0.00681,0.09124
0.09029,0.0772,0.75762,0.01346,0.12739
0.10391,0.09263,0.7369,0.02041,0.16169
0.10754,0.0969,0.73095,0.0225,0.17045
0.11619,0.10747,0.71609,0.02804,0.19068
0.11785,0.10954,0.71318,0.0292,0.19445
0.13766,0.13488,0.6789,0.04587,0.23798
0.14739,0.14714,0.66362,0.05562,0.2592
0.1595,0.16168,0.64617,0.0687,0.28546
0.16213,0.16471,0.64255,0.07164,0.29093
0.17444,0.17835,0.62612,0.08574,0.31454
0.18692,0.19142,0.61004,0.10051,0.33442
0.20727,0.21137,0.58492,0.12533,0.35863
0.22026,0.22336,0.56963,0.14149,0.37037
0.23843,0.23917,0.54947,0.16392,0.38287
0.2394,0.23998,0.54845,0.1651,0.38341
0.25882,0.25566,0.52949,0.18792,0.39132
0.27139,0.26523,0.5191,0.20141,0.39375
0.28753,0.27694,0.50832,0.2169,0.39485
0.29821,0.28436,0.50252,0.22593,0.39493
0.32037,0.2989,0.49267,0.24093,0.39395
0.32545,0.30206,0.49066,0.24383,0.39349
0.32864,0.30401,0.48942,0.24564,0.39315
0.34638,0.3143,0.48278,0.25496,0.39047
0.3625,0.3228,0.47696,0.26175,0.38644
0.38087,0.33173,0.47041,0.26729,0.37975
0.39798,0.33947,0.46422,0.27101,0.37207
0.40441,0.34209,0.4618,0.27217,0.36897
0.40933,0.34394,0.45985,0.27298,0.36656
0.44434,0.34968,0.43568,0.27609,0.34873
0.44541,0.34952,0.43452,0.27608,0.34817
0.45764,0.34527,0.41994,0.27529,0.34175
0.48727,0.31602,0.37671,0.26987,0.32593
0.49099,0.31106,0.3706,0.26907,0.32393
0.49796,0.30154,0.35869,0.26758,0.32015
0.51194,0.28188,0.33286,0.26495,0.31257
0.53678,0.24564,0.28309,0.2618,0.29928
0.53916,0.24208,0.27838,0.26152,0.29803
0.55732,0.21519,0.24556,0.25892,0.28883
0.56701,0.20153,0.23003,0.25684,0.28418
0.57806,0.18691,0.21345,0.25363,0.27906
0.57891,0.18582,0.21221,0.25335,0.27867
0.61826,0.14096,0.15789,0.23832,0.2609
0.62362,0.13553,0.15086,0.23647,0.25842
0.63373,0.12566,0.13787,0.23334,0.25366
0.63895,0.12076,0.13138,0.23186,0.25118
0.66801,0.09563,0.10117,0.22351,0.23766
0.67658,0.08884,0.09403,0.22078,0.23385
0.71252,0.0635,0.06684,0.20871,0.21911
0.71721,0.0606,0.06357,0.20713,0.21734
0.73962,0.04819,0.04897,0.1998,0.20927
0.74508,0.0455,0.04576,0.19812,0.20739
0.78426,0.02945,0.02879,0.188,0.1945
0.79466,0.0259,0.02585,0.18574,0.19123
0.80688,0.02225,0.02278,0.18313,0.18745
0.8271,0.01763,0.01802,0.17874,0.18132
0.84458,0.01465,0.01408,0.17475,0.17615
0.85725,0.01282,0.01133,0.17169,0.17251
0.88078,0.0098,0.00652,0.16567,0.16617
0.8942,0.00821,0.00408,0.16217,0.16282
0.92,0.00529,0.00063,0.15566,0.15668
0.92737,0.00447,-0.00018,0.15394,0.15497
0.95548,0.00142,-0.00456,0.14822,0.14852
0.96734,0.00014,-0.00688,0.14615,0.14581
0.98771,-0.00208,-0.01119,0.14287,0.14116
