% Model:              gan_SL_saw_half-noLayers-Erik.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 5 2024, 14:05
% Table:              Eigenfrequencies (Study 1) - 
% Eigenfrequency (Hz)                             Angular frequency (rad/s)                         Damping ratio (1)                                 Quality factor (1)
1.5565114527710164E9+3862265.908198993i           9.779849890507603E9+2.4267332406816535E7i         0.002481352778422342                              201.50298834892106
1.642524846653301E9+4092484.2634385927i           1.0320287983169424E10+2.5713836993901037E7i       0.002491573609258325                              200.67639107352588
1.6805783062257156E9+4177767.9911148837i          1.0559384921242172E10+2.6249690458578214E7i       0.0024859032553917085                             201.13413461104867
1.7460632938153627E9+4317827.600636482i           1.097083923310628E10+2.7129710939253632E7i        0.00247288538382446                               202.19295373355362
1.8348177773488984E9+4577332.599040731i           1.1528500099990503E10+2.8760228932366867E7i       0.002494699153211245                              200.42496882094434
1.8716438042273376E9+4624636.318289108i           1.1759884850994913E10+2.9057446966123216E7i       0.002470887991857854                              202.3564004712538
1.8935975021185768E9+4725711.349536364i           1.1897824003023407E10+2.9692520117378697E7i       0.0024956183286570905                             200.3511491555095
1.9535438264281602E9+4845245.150972887i           1.2274477867144804E10+3.0443573142275978E7i       0.0024802260295306035                             201.59452971091824
2.0021469570299766E9+4995810.778582241i           1.2579860343225067E10+3.138960488143735E7i        0.002495219049112623                              200.38320891218567
2.0799919593969257E9+5150885.755029395i           1.3068974918334442E10+3.2363969694961324E7i       0.002476389361901274                              201.90685991968556
2.1156548473798532E9+5251639.597272076i           1.3293051452120363E10+3.2997024756182425E7i       0.0024822685157506476                             201.42865158518038
2.1492087664486713E9+5361761.1910729i             1.3503876943411854E10+3.368893913635496E7i        0.002494752761810657                              200.4206619805912
2.222750803397062E9+5512111.076905221i            1.396595518942604E10+3.463361532995273E7i         0.0024798524961175544                             201.62489534470203
2.2454998071754994E9+5601205.522036057i           1.4108891395719692E10+3.519341223855012E7i        0.002494405957457178                              200.44852703515227
2.2493805675175014E9+5617880.167042358i           1.4133274932081244E10+3.529818212305614E7i        0.002497515416974317                              200.1989643794626
2.257240901995989E9+5578237.223953093i            1.4182662870185993E10+3.504909816550432E7i        0.0024712560301164382                             202.3262640158096
2.3053241629401426E9+5753670.739455563i           1.4484778908871582E10+3.61513794524963E7i         0.0024958107462323366                             200.33570283916657
2.3321492236507306E9+5823277.695152409i           1.4653325736192549E10+3.6588732853808224E7i       0.002496949801798666                              200.24431393848099
2.337764599474144E9+5837838.760895731i            1.4688608183060513E10+3.6680222728143536E7i       0.0024971806656915885                             200.22580138851353
2.371166008386026E9+5868911.045514472i            1.4898475424774746E10+3.6875455650320515E7i       0.0024751084689055504                             202.01134870710987
