x,Nd10^15,Nd10^16,Nd10^17,ank-lr
1.09241e+07,3.1381e+11,3.217e+12,3.2523e+13,2.5279e+13
1.17272e+07,3.1387e+11,3.2222e+12,3.2553e+13,2.5279e+13
1.20848e+07,3.1389e+11,3.2244e+12,3.2564e+13,2.528e+13
1.21305e+07,3.1389e+11,3.2247e+12,3.2565e+13,2.528e+13
1.7848e+07,3.142e+11,3.2513e+12,3.254e+13,2.5278e+13
3.0827e+07,3.1464e+11,3.2757e+12,3.2159e+13,2.5226e+13
3.6647e+07,3.1478e+11,3.28e+12,3.2074e+13,2.5183e+13
3.7434e+07,3.1479e+11,3.2805e+12,3.2066e+13,2.5176e+13
4.3149e+07,3.149e+11,3.283e+12,3.2033e+13,2.512e+13
8.716e+07,3.1545e+11,3.2835e+12,3.2104e+13,2.4643e+13
9.411e+07,3.1551e+11,3.282e+12,3.2118e+13,2.4716e+13
1.12884e+08,3.1565e+11,3.2766e+12,3.2146e+13,2.491e+13
1.13874e+08,3.1566e+11,3.2762e+12,3.2147e+13,2.4915e+13
1.93e+08,3.1583e+11,3.2398e+12,3.218e+13,2.502e+13
2.6138e+08,3.1593e+11,3.222e+12,3.2123e+13,2.499e+13
2.6354e+08,3.1593e+11,3.2218e+12,3.212e+13,2.4989e+13
5.4066e+08,3.1616e+11,3.2303e+12,3.1785e+13,2.4836e+13
5.4902e+08,3.1635e+11,3.2304e+12,3.1784e+13,2.4832e+13
6.6724e+08,3.1876e+11,3.2296e+12,3.1792e+13,2.4778e+13
1.07705e+09,3.2476e+11,3.209e+12,3.1878e+13,2.4632e+13
1.6321e+09,3.4971e+11,3.2072e+12,3.2014e+13,2.4486e+13
2.0078e+09,3.6285e+11,3.2244e+12,3.2108e+13,2.4404e+13
2.6332e+09,4.0506e+11,3.2611e+12,3.2269e+13,2.4281e+13
3.17e+09,4.3673e+11,3.2913e+12,3.2419e+13,2.413e+13
3.2438e+09,4.4083e+11,3.2951e+12,3.2441e+13,2.5246e+13
3.3406e+09,4.4989e+11,3.3001e+12,3.2471e+13,2.5665e+13
3.6639e+09,4.7958e+11,3.3156e+12,3.2579e+13,2.7303e+13
4.0223e+09,5.1157e+11,3.3307e+12,3.2716e+13,2.992e+13
4.0834e+09,5.1693e+11,3.3331e+12,3.2742e+13,3.0445e+13
4.9435e+09,6.2455e+11,3.3624e+12,3.3211e+13,3.8662e+13
5.4598e+09,6.8906e+11,3.3792e+12,3.37e+13,4.3003e+13
5.7462e+09,7.399e+11,3.389e+12,3.4024e+13,4.5148e+13
6.7611e+09,9.279e+11,3.4303e+12,3.4471e+13,5.1978e+13
8.0605e+09,1.1853e+12,3.5068e+12,3.5379e+13,6.0578e+13
8.0658e+09,1.1863e+12,3.5072e+12,3.5384e+13,6.0615e+13
8.1262e+09,1.2015e+12,3.5116e+12,3.5441e+13,6.1043e+13
1.13751e+10,2.1286e+12,3.8586e+12,3.9451e+13,9.573e+13
1.3041e+10,2.9008e+12,4.1095e+12,4.1962e+13,1.3614e+14
1.3427e+10,3.0994e+12,4.1746e+12,4.259e+13,1.5123e+14
1.48e+10,3.8639e+12,4.4262e+12,4.4976e+13,2.5369e+14
1.7264e+10,5.4356e+12,4.9559e+12,4.9785e+13,9.949e+16
1.965e+10,7.2419e+12,5.5326e+12,5.4818e+13,2.0862e+18
2.004e+10,7.5641e+12,5.6308e+12,5.565e+13,3.5335e+18
2.0428e+10,7.8927e+12,5.7285e+12,5.6476e+13,6.0186e+18
