% Model:              gan_lamb_eigen.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jun 20 2024, 11:04
% Table:              Eigenfrequencies (Study 1) 1 - 
% pitch (m)                                       Eigenfrequency (Hz)                               Angular frequency (rad/s)                         Damping ratio (1)                                 Quality factor (1)
1.5E-7                                            14.981976826943185-6008.136738451194i             94.13453667155446-37750.23647856242i              -0.9999968909578878                               -0.5000015545258892
1.5E-7                                            15.531630134206347-6123.642991981183i             97.58811025579303-38475.98367362941i              -0.9999967835095832                               -0.5000016082503813
1.5E-7                                            2.2012302774557023E9+5503041.299836651i           1.3830737737028513E10+3.45766282399361E7i         0.0024999765628741224                             200.00187498764794
1.5E-7                                            3.9285281039965215E9+9821258.877463557i           2.468367006187302E10+6.170878947688609E7i         0.0024999765628673635                             200.00187498818866
1.5E-7                                            4.392553929650882E9+1.098131619132265E7i          2.7599230311776375E10+6.899764454681177E7i        0.0024999765628767466                             200.001874987438
1.5E-7                                            6.542820063672958E9+1.635694792879717E7i          4.110975089158974E10+1.0277373489651994E8i        0.0024999765628631876                             200.00187498852273
1.5E-7                                            7.8475083380314455E9+1.9618648229443327E7i        4.930734908748847E10+1.2326760230196312E8i        0.0024999765628975                                200.0018749857777
1.5E-7                                            8.257635414883436E9+2.06439595131889E7i           5.1884253510841415E10+1.2970982309527873E8i       0.0024999765628688285                             200.00187498807145
1.5E-7                                            8.408164177392038E9+2.1020279067637227E7i         5.2830053619743385E10+1.3207430859059285E8i       0.0024999765628879503                             200.00187498654168
1.5E-7                                            9.49351237724195E9+2.373363260848378E7i           5.964949748221416E10+1.491228116916236E8i         0.0024999765628421367                             200.00187499020686
1.5E-7                                            1.1281883871898527E10+2.820453340271357E7i        7.088616698121916E10+1.7721430987178576E8i        0.0024999765628960753                             200.00187498589167
1.5E-7                                            1.1738992306582005E10+2.934729734753483E7i        7.375826398181026E10+1.843945074994613E8i         0.0024999765629245708                             200.001874983612
1.5E-7                                            1.2689493083138302E10+3.17235344370097E7i         7.973043649553157E10+1.9932484546642497E8i        0.002499976562879592                              200.00187498721036
1.5E-7                                            1.341836010071489E10+3.3545690592440642E7i        8.431004303125659E10+2.1077379024961552E8i        0.0024999765628716487                             200.00187498784584
1.5E-7                                            1.3729143916132553E10+3.432264527512165E7i        8.626275533399806E10+2.1565554049618122E8i        0.0024999765628771382                             200.00187498740667
1.5E-7                                            1.3729173795596107E10+3.432271997330524E7i        8.626294307220445E10+2.156560098387108E8i         0.0024999765628765237                             200.00187498745584
1.5E-7                                            1.4636316350328085E10+3.6590562185992315E7i       9.196268784361377E10+2.2990528270846787E8i        0.002499976562861772                              200.001874988636
1.5E-7                                            1.5168741667378487E10+3.7921617159461975E7i       9.530801477287529E10+2.3826854776082075E8i        0.0024999765628547907                             200.0018749891945
1.5E-7                                            1.5274136529796453E10+3.818510266910004E7i        9.597023022387207E10+2.3992407604363337E8i        0.002499976562879                                 200.00187498725774
